id,director_name,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,movie_title,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,Images
11,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,168368427,Action|Adventure,Quantum of Solace,action hero|attempted rape|bond girl|official james bond series|revenge,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,200000000,2008,6.7,https://lumiere-a.akamaihd.net/v1/images/20cs_quantum_of_solace_poster_current_be3f31ce.jpeg?region=0%2C0%2C800%2C1200
12,Peter Jackson,164,Aidan Turner,Adam Brown,James Nesbitt,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,250000000,2014,7.5,https://www.newdvdreleasedates.com/images/posters/the-hobbit-the-battle-of-the-five-armies-2014-15.jpg
13,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,Evan Parke,218051260,Action|Adventure|Drama|Romance,King Kong,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,207000000,2005,7.2,https://1.bp.blogspot.com/-ozLx3FgO1NQ/WL3F-9U2dYI/AAAAAAAAWIY/EFf0eyk_VYQvg-uHVPMVBG5Hxt-1pJPdwCLcB/s640/king-kong-2005-movie-poster.jpg
14,Sam Mendes,143,Albert Finney,Helen McCrory,Rory Kinnear,304360277,Action|Adventure|Thriller,Skyfall,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,200000000,2012,7.8,https://www.themoviedb.org/t/p/w440_and_h660_face/pSsw2oEL7Yh7eg1O3Dq4L6MkJAM.jpg
15,Brett Ratner,104,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,English,Canada,210000000,2006,6.8,https://www.themoviedb.org/t/p/w440_and_h660_face/mpJrhgtKLAp66G6hKfh8j28nCCs.jpg
16,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,144812796,Drama|Romance,The Great Gatsby,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,Australia,105000000,2013,7.3,https://www.themoviedb.org/t/p/w440_and_h660_face/pg8DILLEdFk3oNsLjuEqKcEjvvN.jpg
17,Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,362645141,Adventure|Drama|Family|Fantasy,The Jungle Book,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,English,UK,175000000,2016,7.8,https://4.bp.blogspot.com/-ze3sNcZHocg/V8G6hje4UXI/AAAAAAAAyMA/dMF1qC7m7hYKlBm3FLBIEqEU_yRZZ5JpQCLcB/s640/The-Jungle-Book-2016%2Bcover.jpg
18,Oliver Stone,206,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Alexander,ancient greece|conquest|greek|greek myth|king,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,English,Germany,155000000,2004,5.5,https://images5.fanpop.com/image/photos/30300000/Alexander-2004-Promotional-Poster-alexander-2004-30396169-800-1122.jpg
19,David Yates,138,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,292000866,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix,battle|magic|school|teacher|wizard,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,English,UK,150000000,2007,7.5,https://www.themoviedb.org/t/p/w440_and_h660_face/9ZsPNqAJtoFDJLDewNd7m2Tyya7.jpg
20,Mike Newell,157,Robert Pattinson,Daniel Radcliffe,Rupert Grint,289994397,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire,fire|goblet|magic|tournament|wizard,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,English,UK,150000000,2005,7.6,https://www.themoviedb.org/t/p/w440_and_h660_face/mrhk7DQu3UuI7MujzLIzKDNy6Qy.jpg
21,Lana Wachowski,129,Essie Davis,Collin Chou,Nona Gaye,139259759,Action|Sci-Fi,The Matrix Revolutions,battle|epic|fight|future|machine,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,English,Australia,150000000,2003,6.7,https://www.themoviedb.org/t/p/w440_and_h660_face/iEHJ1CbUBd3dW7yItb5w3g13JFK.jpg
22,George Miller,120,Tom Hardy,Charlize Theron,Zoë Kravitz,153629485,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road,australia|desert|escape|on the run|post apocalypse,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,English,Australia,150000000,2015,8.1,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/a118d0d7-eeb2-4536-94a5-724651007c49/d8osh18-14a75739-2cbf-4419-a7eb-0385f6d3c63f.jpg/v1/fit/w_828,h_1182,q_70,strp/mad_max__fury_road___fanmade_poster_by_punmagneto_d8osh18-414w-2x.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTQ2MSIsInBhdGgiOiJcL2ZcL2ExMThkMGQ3LWVlYjItNDUzNi05NGE1LTcyNDY1MTAwN2M0OVwvZDhvc2gxOC0xNGE3NTczOS0yY2JmLTQ0MTktYTdlYi0wMzg1ZjZkM2M2M2YuanBnIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.8CRMdaFgjJiQ9Q4IjrH3Dk1Lm9Uvjf9ZS311J57SYuA"
23,Christopher McQuarrie,131,Tom Cruise,Jeremy Renner,Sean Harris,195000874,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation,capture|computer hacker|mission|rogue agent|spy,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,English,China,150000000,2016,7.4,https://www.themoviedb.org/t/p/w440_and_h660_face/zdwlXkPPPa3xT9M5IC0F3OGAAit.jpg
24,Ridley Scott,150,Christian Bale,María Valverde,Ben Mendelsohn,65007045,Action|Adventure|Drama,Exodus: Gods and Kings,egypt|exodus|moses|pharaoh|plague,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,English,UK,140000000,2014,6.1,https://www.themoviedb.org/t/p/w440_and_h660_face/64b7lSX78sK8ajsQowufpFSQrcx.jpg
25,Breck Eisner,124,Matthew McConaughey,Rainn Wilson,Delroy Lindo,68642452,Action|Adventure|Comedy|Thriller,Sahara,beach|civil war|desert|dictator|ship,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,English,UK,130000000,2005,6,https://i.pinimg.com/564x/eb/7b/38/eb7b382f4e02b77ab9e07655c733b7fc.jpg
26,Michael Apted,128,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,126930660,Action|Adventure|Thriller,The World Is Not Enough,british|oil|scientist|terrorist|tycoon,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,English,UK,135000000,1999,6.4,https://www.themoviedb.org/t/p/w440_and_h660_face/mVUVnjCnbgL6cphYggC7dfHu3PH.jpg
27,George Miller,100,Robin Williams,Brad Pitt,Common,63992328,Animation|Comedy|Family|Musical,Happy Feet 2,3d|antarctica|krill|penguin|sequel,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,English,Australia,135000000,2011,5.9,https://www.themoviedb.org/t/p/w440_and_h660_face/yjxdWptKcDigJDFwMLvHvzgHNQQ.jpg
28,Steven Spielberg,117,Mark Rylance,Penelope Wilton,Rafe Spall,52792307,Adventure|Family|Fantasy,The BFG,cannibal|evil brother|giant|london england|queen,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,English,UK,140000000,2016,6.8,https://www.themoviedb.org/t/p/w440_and_h660_face/4zawxGJIH43DcoGG9Ui0WoIcrQC.jpg
29,Alfonso Cuarón,142,Daniel Radcliffe,Gary Oldman,Rupert Grint,249358727,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban,magic|muggle|serial killer|traitor|wizard,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,English,UK,130000000,2004,7.8,https://www.themoviedb.org/t/p/w440_and_h660_face/r2DnP3uSvgmU1IffKK9sHBVGYnT.jpg
30,Chris Columbus,159,Daniel Radcliffe,Fiona Shaw,Verne Troyer,317557891,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone,based on novel|birthday|evil wizard|quidditch|wizard,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,English,UK,125000000,2001,7.5,https://3.bp.blogspot.com/-4eFzXb4Ev74/UQjJx0txh4I/AAAAAAAABf0/Lex5-a-TVgg/s400/harry-potter-and-the-sorcerers-stone-poster-0.jpg
31,Bryan Singer,134,Hugh Jackman,Bruce Davison,Aaron Stanford,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2,mutant|prison|professor|school|x men,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,English,Canada,110000000,2003,7.5,https://es.web.img3.acsta.net/r_1920_1080/pictures/14/06/24/12/18/222723.jpg
32,Paul Greengrass,123,Matt Damon,Riz Ahmed,Ato Essandoh,108521835,Action|Thriller,Jason Bourne,black ops|chase|cia|cia agent|repeated scene,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,English,UK,120000000,2016,7.1,https://www.newdvdreleasedates.com/images/posters/jason-bourne-2016-02.jpg
33,Frédéric Forestier,116,Alain Delon,Santiago Segura,Vanessa Hessler,77222184,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,French,France,78000000,2008,5.1,https://www.themoviedb.org/t/p/w440_and_h660_face/qCy6c8UVEoUeA0cEn6Dkufd3mI9.jpg
34,Spike Jonze,101,Catherine O'Hara,Ryan Corr,Max Records,77222184,Adventure|Drama|Family|Fantasy,Where the Wild Things Are,based on children's book|creature|igloo|imagination|king,http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1,English,Germany,100000000,2009,6.8,https://image.tmdb.org/t/p/original//sDFV9VEjwTUWF1s5sjOllsb70jk.jpg
35,Edward Zwick,143,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,57366262,Adventure|Drama|Thriller,Blood Diamond,diamond|elephant|fisherman|rebel|sierra leone,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,English,Germany,100000000,2006,8,https://1.bp.blogspot.com/-hATwuM2QBug/XzF7UaEAR7I/AAAAAAAAAbg/eceUFbsMQkc260G9YCN7fAAAbnEJf0AsgCNcBGAsYHQ/s640/blooddiamond.jpg
36,Tom Tykwer,172,Tom Hanks,Jim Sturgess,Jim Broadbent,27098580,Drama|Sci-Fi,Cloud Atlas,composer|future|letter|nonlinear timeline|nursing home,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,English,Germany,102000000,2012,7.5,https://media.senscritique.com/media/000005923968/300/cloud_atlas.jpg
37,Paul Greengrass,115,Matt Damon,Sean Huze,Igal Naor,35024475,Action|Drama|Thriller|War,Green Zone,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1,English,France,100000000,2010,6.9,https://picfiles.alphacoders.com/353/353125.jpg
38,Luc Besson,126,Milla Jovovich,Bruce Willis,Gary Oldman,63540020,Action|Adventure|Sci-Fi,The Fifth Element,1910s|alien|artificially created woman|love|taxi driver,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,English,France,93000000,1997,7.7,https://www.vintagemovieposters.co.uk/wp-content/uploads/2018/10/IMG_0958.jpg
39,Paul W.S. Anderson,105,Sasha Roiz,Currie Graham,Dylan Schombing,23219748,Action|Adventure|Drama|History|Romance,Pompeii,arena|lava bomb|mount vesuvius|pompeii|slave,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,English,Canada,80000000,2014,5.6,https://www.themoviedb.org/t/p/w440_and_h660_face/rL8i492fGch2ZvTTGY8McAuLMeY.jpg
40,Steven Spielberg,163,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,47379090,Drama|History|Thriller,Munich,arab|black september|israel|jew|munich olympics,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,English,France,70000000,2005,7.6,https://i.pinimg.com/564x/f1/d9/f9/f1d9f90218835a6fe06669d0f0a6e0a3.jpg
41,Alejandro Amenábar,141,Max Minghella,Ashraf Barhom,Rupert Evans,617840,Adventure|Drama|History|Romance,Agora,christian|love|philosophy|prefect|slave,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,English,Spain,70000000,2009,7.2,https://posters.movieposterdb.com/10_02/2009/1186830/l_1186830_2ea837fc.jpg
42,Rob Bowman,100,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,24407944,Action|Crime|Fantasy|Thriller,Elektra,assassin|battle|heroine|martial arts|spin off,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,English,Canada,43000000,2005,4.8,https://static.moovielive.com/MoviePhoto/coverart/en_us/2013/2013-01-29/29074/big_en_US29074.jpg
43,J.A. Bayona,114,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast,18996755,Drama|Thriller,The Impossible,christmas|resort|thailand|tourist|tsunami,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,English,Spain,45000000,2012,7.6,https://images.toopa.com/144509_image1-collidercom.jpg
44,Roman Polanski,133,Johnny Depp,Frank Langella,Lena Olin,18653746,Mystery|Thriller,The Ninth Gate,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,English,Spain,38000000,1999,6.7,https://picfiles.alphacoders.com/138/138509.jpg
45,Sergio Leone,251,Robert De Niro,Burt Young,Treat Williams,5300000,Crime|Drama,Once Upon a Time in America,1920s|ambiguity|childhood friend|new york|speakeasy,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,English,Italy,30000000,1984,8.4,https://picfiles.alphacoders.com/356/356054.jpg
46,Liliana Cavani,110,Ray Winstone,Dougray Scott,Chiara Caselli,5300000,Crime|Drama|Mystery|Thriller,Ripley's Game,art forgery|concert|dying|picture framer|villa,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,English,Italy,30000000,2002,6.7,https://media.senscritique.com/media/000019851146/300/ripley_s_game.jpg
47,Agustín Díaz Yanes,145,Viggo Mortensen,Elena Anaya,Eduardo Noriega,5300000,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer,desire|fighting|king|spain|trap,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,Spanish,Spain,24000000,2006,6.1,https://m.media-amazon.com/images/I/81iKTu5VHpL._SY500_.jpg
48,Bernardo Bertolucci,219,Cary-Hiroyuki Tagawa,Joan Chen,Victor Wong,43984230,Biography|Drama|History,The Last Emperor,abdication|china|emperor|forbidden city|republic,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,English,China,23000000,1987,7.8,https://s3.amazonaws.com/criterion-production/films/df4a3828538e371bb514327fb5be561f/URBYiTnt4otEoXtvtr2zbHA5ykxgkB_large.jpg
49,Juan José Campanella,106,Pablo Rago,Diego Ramos,Gabriel Almirón,43984230,Adventure|Animation|Family|Sport,Underdogs,funfair|luna park|table football|toy comes to life|wig,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,Spanish,Spain,22000000,2013,6.7,https://cloud.filmfed.com/movies/posters/l_209f30fc-d1f4-40bf-8a6b-69b4fd4ce839.jpg
50,Lenny Abrahamson,118,Joan Allen,Jacob Tremblay,Cas Anvar,14677654,Drama,Room,based on novel|escape|imprisonment|kidnapping|mother son relationship,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,English,Ireland,13000000,2016,8.3,https://media.movieassets.com/static/images/items/movies/posters/500/100/room-26d9f5290bbac8eb528329a835889ccb.jpg
